tau,acc_amb,acc_dis,bias_amb,bias_dis,far,n_kept,n_overridden,parse_fail_rate
0.3,0.7478510028653295,0.7619047619047619,0.18181818181818188,0.023569023569023573,0.15142857142857144,1793,304,0.0
0.35,0.7765042979942693,0.758095238095238,0.170940170940171,0.014823261117445918,0.16476190476190475,1742,355,0.0
0.4,0.8042024832855779,0.7552380952380953,0.18048780487804872,0.008055235903337232,0.17238095238095238,1695,402,0.0
0.45,0.8213944603629417,0.7495238095238095,0.15508021390374327,0.013953488372093092,0.18095238095238095,1662,435,0.0
0.5,0.8424068767908309,0.7447619047619047,0.1515151515151516,0.010550996483001063,0.18761904761904763,1620,477,0.0
0.55,0.8605539637058262,0.7371428571428571,0.12328767123287676,0.01067615658362997,0.19714285714285715,1573,524,0.0
0.6,0.8729703915950334,0.7323809523809524,0.08270676691729317,0.006002400960384069,0.20666666666666667,1529,568,0.0
0.65,0.8872970391595033,0.7285714285714285,0.05084745762711873,0.0060606060606061,0.21428571428571427,1488,609,0.0
0.7,0.9016236867239733,0.7114285714285714,0.029126213592232997,0.008739076154806513,0.23714285714285716,1420,677,0.0
0.75,0.9130850047755492,0.6942857142857143,-0.01098901098901095,0.01278772378516635,0.25523809523809526,1353,744,0.0
0.8,0.9226361031518625,0.6580952380952381,-0.06172839506172845,0.009446693657219951,0.29428571428571426,1271,826,0.0
0.85,0.933142311365807,0.6304761904761905,-0.08571428571428574,0.0,0.32761904761904764,1179,918,0.0
